text,label
Your mobile number won cash prize. Call now to collect your reward.,spam
Claim your FREE holiday trip before midnight. Limited winners available.,spam
Can you call me when you arrive?,not_spam
You are the lucky winner of €750. Send your details to receive it.,spam
You are the lucky winner of $250. Send your details to receive it.,spam
Exclusive offer: get 90% off today. Act now before it expires.,spam
Are you free this weekend for dinner?,not_spam
"Hi Nora, are we still meeting at noon?",not_spam
"Hi Sara, are we still meeting at tomorrow morning?",not_spam
I finished the book. Let me know what you think.,not_spam
FINAL NOTICE: your reward is waiting. Verify your information now.,spam
Thanks for your message. I will reply after work.,not_spam
Can you call me when you arrive?,not_spam
Exclusive offer: get 90% off today. Act now before it expires.,spam
Claim your FREE tablet before midnight. Limited winners available.,spam
Hope you are doing well. Have a great day!,not_spam
The meeting has been moved to noon.,not_spam
Claim your FREE shopping voucher before midnight. Limited winners available.,spam
Get a guaranteed holiday trip with no payment required. Reply YES now.,spam
Claim your FREE smartphone before midnight. Limited winners available.,spam
"Hi Omar, are we still meeting at 8 pm?",not_spam
I will be home around tomorrow morning. See you later.,not_spam
Don't forget to bring the file tomorrow.,not_spam
Don't forget to bring the book tomorrow.,not_spam
Exclusive offer: get 90% off today. Act now before it expires.,spam
Congratulations! You have won a free cash prize. Claim it now.,spam
URGENT: Your account has been selected for a holiday trip. Click to claim.,spam
"You are the lucky winner of $1,000. Send your details to receive it.",spam
Claim your FREE holiday trip before midnight. Limited winners available.,spam
Don't forget to bring the report tomorrow.,not_spam
URGENT: Your account has been selected for a holiday trip. Click to claim.,spam
I will be home around 8 pm. See you later.,not_spam
Special promotion! Receive €750 when you complete this offer.,spam
URGENT: Your account has been selected for a smartphone. Click to claim.,spam
You are the lucky winner of £500. Send your details to receive it.,spam
I will be home around 6 pm. See you later.,not_spam
Get a guaranteed tablet with no payment required. Reply YES now.,spam
Congratulations! You have won a free smartphone. Claim it now.,spam
I will be home around 7:30 pm. See you later.,not_spam
"You are the lucky winner of $2,500. Send your details to receive it.",spam
Claim your FREE holiday trip before midnight. Limited winners available.,spam
Thanks for your message. I will reply after work.,not_spam
"Special promotion! Receive $2,500 when you complete this offer.",spam
The meeting has been moved to 6 pm.,not_spam
I finished the notes. Let me know what you think.,not_spam
Exclusive offer: get 80% off today. Act now before it expires.,spam
URGENT: Your account has been selected for a holiday trip. Click to claim.,spam
Can you call me when you arrive?,not_spam
FINAL NOTICE: your reward is waiting. Verify your information now.,spam
FINAL NOTICE: your reward is waiting. Verify your information now.,spam
Your mobile number won gift card. Call now to collect your reward.,spam
Are you free this weekend for a walk?,not_spam
