year,mileage,engine_size,horsepower,doors,owners,price
2016,178396,1.5,127,4,3,4447
2013,320371,3.9,287,2,4,8843
2022,77427,1.3,184,4,1,38955
2024,17273,2.2,161,5,1,41551
2020,70342,3.2,193,4,2,45114
2017,148145,3.1,178,4,3,31436
2022,56369,2.3,199,4,1,38333
2014,280264,2.0,118,4,5,3905
2016,199421,2.2,167,5,3,19343
2019,92067,1.8,165,5,2,25513
2012,88601,1.6,148,4,3,3683
2016,201208,2.4,198,4,2,20960
2020,98911,1.8,160,5,1,30091
2020,116852,1.9,191,5,3,28736
2017,59956,3.0,196,4,2,31962
2014,153000,3.9,253,4,2,21882
2013,207163,2.8,190,4,3,7214
2017,144092,1.2,142,5,4,16727
2017,126732,1.2,144,4,1,23344
2012,241671,3.9,281,4,5,10535
2015,97934,1.9,189,4,2,26284
2014,187324,1.3,97,4,5,2500
2011,229893,2.8,251,4,3,10068
2017,153326,2.9,253,5,2,29134
2021,104293,2.9,233,3,2,36739
2023,35379,1.8,199,4,1,42440
2015,93620,1.0,69,3,2,17712
2011,332893,3.9,256,4,5,3271
2025,10060,1.8,136,4,1,55623
2021,67437,3.0,238,4,1,45792
2014,264332,3.1,199,4,5,11214
2010,251014,2.8,228,4,4,8227
2021,116818,1.9,194,3,2,45818
2019,112205,1.8,171,4,2,24195
2015,272389,2.8,216,5,5,8191
2022,102321,3.6,228,5,1,39899
2021,65748,3.8,243,4,1,45241
2018,146584,1.3,158,4,3,14218
2010,276018,1.5,157,5,4,2500
2020,107289,3.8,263,2,2,48498
2020,84509,3.2,221,4,1,40053
2024,25142,3.6,202,5,1,47482
2019,136127,1.6,116,3,2,18603
2025,5000,2.8,257,4,1,61303
2021,51450,3.1,193,5,2,34644
2021,37274,3.0,225,4,1,52256
2025,22392,2.2,201,2,1,58517
2024,30627,1.0,79,4,1,36482
2023,63610,2.7,208,4,3,42926
2023,48826,1.8,177,4,2,45726
2024,42170,2.4,187,4,1,51254
2023,42442,3.9,341,5,1,55618
2012,107596,2.2,134,4,2,7599
2021,81098,3.5,274,4,3,38730
2016,173911,1.6,139,4,5,14160
2013,204822,3.0,239,4,4,19138
2025,7506,3.9,281,4,1,54343
2018,103823,1.3,108,5,2,17510
2012,131815,1.0,116,5,1,2500
2014,209648,2.3,135,4,2,6016
2012,227809,1.3,142,4,5,3388
2016,113569,3.2,238,4,5,22579
2014,164634,3.7,274,4,3,23998
2018,82081,2.3,208,4,2,24413
2016,150267,1.8,163,4,2,20284
2011,306494,2.3,185,5,5,2500
2013,139742,3.2,209,4,2,15516
2018,164162,1.0,92,4,5,11402
2021,68724,2.8,239,4,4,40894
2023,16688,2.8,245,4,1,47427
2011,225308,2.9,209,4,2,3533
2019,76201,1.7,150,4,2,36326
2018,112966,3.1,203,4,2,27742
2019,73998,1.3,156,4,1,29275
2014,284710,1.6,160,4,4,10577
2011,215137,3.6,302,4,4,33580
2013,151975,3.2,209,4,3,11446
2021,71309,1.0,101,4,1,30860
2024,23183,1.7,154,4,1,40233
2021,75913,1.6,159,4,1,32254
2016,194336,1.8,149,4,2,12889
2021,95990,1.7,127,4,1,25760
2022,38492,1.2,143,4,1,36547
2017,116125,2.4,205,2,1,21524
2024,39490,3.2,208,4,1,53424
2012,58881,2.8,243,4,5,19703
2023,23204,3.0,249,4,3,50862
2010,338561,1.2,124,5,5,2500
2013,283381,3.9,271,4,2,17200
